IDMAEEDO;TIDO;NUDO;ENDO;SUENDO;SUDO;FEEMDO;FEER;MODO;TIMODO;TIDEVE;TIDEVEFE;TIDEVEHO;PPPRNE;TAMOPPPR;VANELI;FEEMLI;KOFULIDO;LILG;PRCT;NULIDO;FEERLI;SULIDO;BOSULIDO;LUVTLIDO;KOPRCT;UD01PR;NOKOZO;IDMAEDDO;NUSEPR;CAPRCO1;CAPRAD1;CAPREX1;UD02PR;CAPRCO2;CAPRAD2;CAPREX2;OCDO;OBDO;NOKOEN;ZOEN;DIEN;COMUNA;TIPR;NOKOPR;PFPR;FMPR;RUPR;MRPR;STFI1;STFI2;PRRG;KOPRTE;ENDOFI;UBICACION;OBSERVA;
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       12783.00000;           1.00000;      375820.00000;"15/09/2025";"PBV";"SI";0;"00003";"29/09/2025";"004";"006";"37";"PCA907BASE001";"GL";"";     1653545.00000;"";          30.00000;           0.00000;          20.00000;"GL";          30.00000;           0.00000;          20.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ZINC-ACRYL BASE INCOLORA  GL.";"0001";"003";"01";"";          36.00000;          36.00000;1;"PCA907BASE001";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       14490.00000;           1.00000;      284004.00000;"15/09/2025";"PBV";"SI";0;"00005";"29/09/2025";"004";"006";"37";"PCA907BLAN001";"GL";"";     1653546.00000;"";          20.00000;           0.00000;           0.00000;"GL";          20.00000;           0.00000;           0.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ZINC ACRYL BLANCO GL.";"0001";"003";"01";"";          43.00000;          43.00000;1;"PCA907BLAN001";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";        8426.00000;           1.00000;      247724.00000;"15/09/2025";"PBV";"SI";0;"00006";"29/09/2025";"004";"006";"37";"PCAPLUS921001";"GL";"";     1653547.00000;"";          30.00000;           0.00000;           0.00000;"GL";          30.00000;           0.00000;           0.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"FIBROCOPPER  INCOLORO GL.";"0005";"003";"01";"";          45.00000;          45.00000;1;"PCAPLUS921001";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       19500.00000;           1.00000;      191100.00000;"15/09/2025";"PBV";"SI";0;"00007";"29/09/2025";"004";"006";"37";"PCA922NEGRO01";"GL";"";     1653548.00000;"";          10.00000;           0.00000;           0.00000;"GL";          10.00000;           0.00000;           0.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ESMALTE SINTETICO NEGRO GL.";"0002";"003";"01";"";         117.00000;         117.00000;0;"PCA922NEGRO01";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       16890.00000;           1.00000;      165522.00000;"15/09/2025";"PBV";"SI";0;"00008";"29/09/2025";"004";"006";"37";"PCA926BLAN001";"GL";"";     1653549.00000;"";          10.00000;           0.00000;           0.00000;"GL";          10.00000;           0.00000;           0.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"OLEO BRILLANTE BLANCO GL.";"0002";"003";"01";"";          42.00000;          42.00000;1;"PCA926BLAN001";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       16700.00000;           1.00000;      163660.00000;"15/09/2025";"PBV";"SI";0;"00009";"29/09/2025";"004";"006";"37";"PCA904BLAN001";"GL";"";     1653550.00000;"";          10.00000;           0.00000;           0.00000;"GL";          10.00000;           0.00000;           0.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"OLEO SEMI BRILLO BLANCO GL.";"0002";"003";"01";"";          51.00000;          51.00000;1;"PCA904BLAN001";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       10490.00000;           1.00000;      308406.00000;"15/09/2025";"PBV";"SI";0;"00010";"29/09/2025";"004";"006";"37";"PCAEXTRACUB01";"GL";"";     1653551.00000;"";          30.00000;           0.00000;           0.00000;"GL";          30.00000;           0.00000;           0.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"LATEX SUPERCUBRIENTE BLANCO GL";"0001";"003";"01";"";          96.00000;          96.00000;1;"PCAEXTRACUB01";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       12370.00000;           1.00000;      363678.00000;"15/09/2025";"PBV";"SI";0;"00012";"29/09/2025";"004";"006";"37";"PCA960COPPBM1";"GL";"";     1653553.00000;"";          30.00000;           0.00000;           0.00000;"GL";          30.00000;           0.00000;           0.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ESMALTE AL AGUA COPPER 960 BASE MEDIA GL.";"0001";"003";"";"";          44.00000;          44.00000;1;"PCA960COPPBM1";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";       14656.00000;           1.00000;      430886.00000;"15/09/2025";"PBV";"SI";0;"00013";"29/09/2025";"004";"006";"37";"PCA960ECOPBO1";"GL";"";     1653554.00000;"";          30.00000;           0.00000;          10.00000;"GL";          30.00000;           0.00000;          10.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"ESMALTE AL AGUA COPPER C/COBRE 960 BASE OSCURA GL.";"0001";"003";"";"";          27.00000;          27.00000;1;"PCA960ECOPBO1";"";"";"";
      515939.00000;"NVV";"0000425836";"13732";"";"004";"15/09/2025";"29/09/2025";"$";"N";"";"29/09/2025";"";        8990.00000;           1.00000;      264306.00000;"15/09/2025";"PBV";"SI";0;"00014";"29/09/2025";"004";"006";"37";"PCASMARTBO001";"GL";"";     1653555.00000;"";          30.00000;           0.00000;          20.00000;"GL";          30.00000;           0.00000;          20.00000;"1204603";"CAUPOLICAN N957, TEMUCO";"ELECTROCOM S.A.";"";"CAUPOLICAN NRO. 957";"TEMUCO";"FPN";"SMART COPPER SANTINADO BASE OSCURA GL.";"0005";"003";"01";"";           3.00000;           3.00000;1;"PCASMARTBO001";"";"";"";
