IDMAEEDO;TIDO;NUDO;ENDO;SUENDO;SUDO;FEEMDO;FEULVEDO;KOFUDO;MODO;TIMODO;TAMODO;CAPRAD;CAPREX;VANEDO;VAIVDO;VABRDO;LILG;NULIDO;SULIDO;LUVTLIDO;BOSULIDO;KOFULIDO;PRCT;TICT;TIPR;NUSEPR;KOPRCT;UDTRPR;RLUDPR;CAPRCO1;CAPRAD1;CAPREX1;CAPRNC1;UD01PR;CAPRCO2;CAPRAD2;CAPREX2;CAPRNC2;UD02PR;PPPRNE;PPPRBR;VANELI;VABRLI;FEEMLI;FEERLI;PPPRPM;PPPRPMIFRS;LOGISTICA;ESLIDO;PPPRNERE1;PPPRNERE2;IDMAEDDO;FMPR;MRPR;ZONA;RUEN;RECAPRRE;PFPR;HFPR;MONTO;OCDO;NOKOPRCT;NOKOZO;NOSUDO;NOKOFU;NOKOFUDO;NOBOSULI;NOKOEN;NORUEN;NOMRPR;NOFMPR;NOPFPR;NOHFPR;DEVOL1;DEVOL2;STOCKFIS;LISTACOST;LISCOSMOD;
      518434.00000;"FCV";"0000198243";"77799874-9";"";"004";"02/10/2025";"02/10/2025";"FPJ";"$";"N";         959.19000;           0.00000;           3.00000;      149970.00000;       28494.00000;      178464.00000;"SI";"00001";"006";"10";"007";"JNC";0;"";"FPN";"";"PCA907ROJO056";           2.00000;           4.00000;          12.00000;           0.00000;          12.00000;           0.00000;"GL";           3.00000;           0.00000;           3.00000;           0.00000;"BD";       49990.00000;       59488.10000;      149970.00000;      178464.00000;"02/10/2025";"02/10/2025";        6417.64983;        6417.64983;           0.00000;"C";       12497.50000;       49990.00000;     1662161.00000;"003";"";"";"03";0;"0001";"";      149970.00000;"COT-2025-5876";"ZINC ACRYL ROJO OXIDO 4 GALONES";"";"PLANTA LAUTARO";"JORGE ANDRES NAHUELFIL CUADRA";"FRANCO ANDRES PARRA JIRKAL";"SANTIAGO";"PAISAJISMO DYC LIMITADA";"DIGITAL";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518495.00000;"FCV";"0000198244";"15503595-1";"";"004";"02/10/2025";"02/10/2025";"FPJ";"$";"N";         959.19000;           0.00000;           1.00000;       25210.00000;        4790.00000;       30000.00000;"SI";"00001";"006";"10";"007";"JNC";0;"";"FPN";"";"PCA106BAROBL1";           1.00000;           1.00000;           1.00000;           0.00000;           1.00000;           0.00000;"GL";           1.00000;           0.00000;           1.00000;           0.00000;"GL";       25210.08000;       29999.99500;       25210.00000;       30000.00000;"02/10/2025";"02/10/2025";        8555.87412;        8468.22436;           0.00000;"C";       25210.00000;       25210.00000;     1662441.00000;"003";"";"";"03";0;"0002";"0005";       25210.00000;"";"BARNIZ MARINO ROBLE GL";"";"PLANTA LAUTARO";"JORGE ANDRES NAHUELFIL CUADRA";"FRANCO ANDRES PARRA JIRKAL";"SANTIAGO";"RICHARD SEGUEL";"DIGITAL";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE SOLVENTE";"BARNICES";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518502.00000;"FCV";"0000198245";"15536644-3";"";"004";"02/10/2025";"02/10/2025";"FPJ";"$";"N";         959.19000;           3.00000;           0.00000;      123000.00000;       23370.00000;      146370.00000;"SI";"00001";"004";"37";"006";"MCH";0;"";"FPN";"";"PCA907NEGRO06";           2.00000;           4.00000;          12.00000;          12.00000;           0.00000;           0.00000;"GL";           3.00000;           3.00000;           0.00000;           0.00000;"BD";       41000.00000;       48790.00000;      123000.00000;      146370.00000;"02/10/2025";"02/10/2025";        5855.02860;        5836.04614;           0.00000;"C";       10250.00000;       41000.00000;     1662461.00000;"003";"";"";"06";0;"0001";"";      123000.00000;"";"ZINC ACRYL NEGRO 4 GALONES";"";"PLANTA LAUTARO";"MAURICIO CHAPARRO MELO";"FRANCO ANDRES PARRA JIRKAL";"PRODUCTOS TERMINADOS";"GINO GAJARDO";"CLIENTES NO HABITUALES";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518508.00000;"FCV";"0000198246";"76565296-0";"";"004";"02/10/2025";"01/12/2025";"YCF";"$";"N";         959.19000;           7.00000;           0.00000;      109445.00000;       20795.00000;      130240.00000;"SI";"00001";"004";"37";"006";"DCG";0;"";"FPN";"";"PCA922BOSC001";           1.00000;           1.00000;           7.00000;           7.00000;           0.00000;           0.00000;"GL";           7.00000;           7.00000;           0.00000;           0.00000;"GL";       15635.00000;       18605.65000;      109445.00000;      130240.00000;"02/10/2025";"02/10/2025";        7669.65084;        7681.40475;           0.00000;"C";       15635.00000;       15635.00000;     1662473.00000;"003";"";"";"08";0;"0002";"0004";      109445.00000;"A000005498";"ESMALTE SINTETICO BASE OSCURA GL.";"";"PLANTA LAUTARO";"CLIENTE FABRICA";"YAZNA CAROLINA FERNANDEZ BRION";"PRODUCTOS TERMINADOS";"PINTURERIA DEL SUR LIMITADA";"PANORAMICA STORE";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE SOLVENTE";"ESMALTE SINTETICO BRILLANTE";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518510.00000;"FCV";"0000198247";"76565296-0";"";"004";"02/10/2025";"01/12/2025";"YCF";"$";"N";         959.19000;          16.00000;           0.00000;      129792.00000;       24660.00000;      154452.00000;"SI";"00001";"004";"37";"006";"DCG";0;"";"FPN";"";"PCASMARTBO001";           2.00000;           1.00000;          16.00000;          16.00000;           0.00000;           0.00000;"GL";          16.00000;          16.00000;           0.00000;           0.00000;"GL";        8112.00000;        9653.28000;      129792.00000;      154452.00000;"02/10/2025";"02/10/2025";        4553.73603;        4553.73603;           0.00000;"C";        8112.00000;        8112.00000;     1662479.00000;"003";"";"";"08";0;"0005";"0002";      129792.00000;"D000000975";"SMART COPPER SANTINADO BASE OSCURA GL.";"";"PLANTA LAUTARO";"CLIENTE FABRICA";"YAZNA CAROLINA FERNANDEZ BRION";"PRODUCTOS TERMINADOS";"PINTURERIA DEL SUR LIMITADA";"PANORAMICA STORE";"";"PINTURAS FABRICACION PROPIA";"IMPERMEABILIZANTES Y SELLADORE";"ESMART PLUS";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518512.00000;"FCV";"0000198248";"76565296-0";"";"004";"02/10/2025";"01/12/2025";"YCF";"$";"N";         959.19000;          66.00000;           0.00000;      892667.00000;      169607.00000;     1062274.00000;"SI";"00001";"004";"37";"006";"DCG";0;"";"FPN";"";"PCA960ECOPNE1";           1.00000;           1.00000;           8.00000;           8.00000;           0.00000;           0.00000;"GL";           8.00000;           8.00000;           0.00000;           0.00000;"GL";       10266.00000;       12216.54000;       82128.00000;       97732.00000;"02/10/2025";"02/10/2025";        5578.91817;        5578.91817;           0.00000;"C";       10266.00000;       10266.00000;     1662482.00000;"003";"";"";"08";0;"0001";"0002";       82128.00000;"A000005498";"ESMALTE AL AGUA COPPER C/COBRE 960 NEGRO GL.";"";"PLANTA LAUTARO";"CLIENTE FABRICA";"YAZNA CAROLINA FERNANDEZ BRION";"PRODUCTOS TERMINADOS";"PINTURERIA DEL SUR LIMITADA";"PANORAMICA STORE";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"ESMALTE AL AGUA";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518512.00000;"FCV";"0000198248";"76565296-0";"";"004";"02/10/2025";"01/12/2025";"YCF";"$";"N";         959.19000;          66.00000;           0.00000;      892667.00000;      169607.00000;     1062274.00000;"SI";"00002";"004";"37";"006";"DCG";0;"";"FPN";"";"PCA960ECOPAT1";           1.00000;           1.00000;           8.00000;           8.00000;           0.00000;           0.00000;"GL";           8.00000;           8.00000;           0.00000;           0.00000;"GL";       13883.00000;       16520.77000;      111064.00000;      132166.00000;"02/10/2025";"02/10/2025";        7692.53547;        7692.53547;           0.00000;"C";       13883.00000;       13883.00000;     1662483.00000;"003";"";"";"08";0;"0001";"0002";      111064.00000;"A000005498";"ESMALTE AL AGUA COPPER C/COBRE 960 AMARILLO TOPACI";"";"PLANTA LAUTARO";"CLIENTE FABRICA";"YAZNA CAROLINA FERNANDEZ BRION";"PRODUCTOS TERMINADOS";"PINTURERIA DEL SUR LIMITADA";"PANORAMICA STORE";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"ESMALTE AL AGUA";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518512.00000;"FCV";"0000198248";"76565296-0";"";"004";"02/10/2025";"01/12/2025";"YCF";"$";"N";         959.19000;          66.00000;           0.00000;      892667.00000;      169607.00000;     1062274.00000;"SI";"00003";"004";"37";"006";"DCG";0;"";"FPN";"";"PCA960COPPBM1";           1.00000;           1.00000;           8.00000;           8.00000;           0.00000;           0.00000;"GL";           8.00000;           8.00000;           0.00000;           0.00000;"GL";       12398.00000;       14753.62000;       99184.00000;      118029.00000;"02/10/2025";"02/10/2025";        5508.30175;        5508.39009;           0.00000;"C";       12398.00000;       12398.00000;     1662484.00000;"003";"";"";"08";0;"0001";"0002";       99184.00000;"A000005498";"ESMALTE AL AGUA COPPER 960 BASE MEDIA GL.";"";"PLANTA LAUTARO";"CLIENTE FABRICA";"YAZNA CAROLINA FERNANDEZ BRION";"PRODUCTOS TERMINADOS";"PINTURERIA DEL SUR LIMITADA";"PANORAMICA STORE";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"ESMALTE AL AGUA";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518512.00000;"FCV";"0000198248";"76565296-0";"";"004";"02/10/2025";"01/12/2025";"YCF";"$";"N";         959.19000;          66.00000;           0.00000;      892667.00000;      169607.00000;     1062274.00000;"SI";"00004";"004";"37";"006";"DCG";0;"";"FPN";"";"PCA960ECOPBO1";           1.00000;           1.00000;           3.00000;           3.00000;           0.00000;           0.00000;"GL";           3.00000;           3.00000;           0.00000;           0.00000;"GL";       12398.00000;       14753.62000;       37194.00000;       44261.00000;"02/10/2025";"02/10/2025";        5132.41039;        5132.41039;           0.00000;"C";       12398.00000;       12398.00000;     1662485.00000;"003";"";"";"08";0;"0001";"0002";       37194.00000;"A000005498";"ESMALTE AL AGUA COPPER C/COBRE 960 BASE OSCURA GL.";"";"PLANTA LAUTARO";"CLIENTE FABRICA";"YAZNA CAROLINA FERNANDEZ BRION";"PRODUCTOS TERMINADOS";"PINTURERIA DEL SUR LIMITADA";"PANORAMICA STORE";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"ESMALTE AL AGUA";           0.00000;           0.00000;           0.00000;"";           0.00000;
      518512.00000;"FCV";"0000198248";"76565296-0";"";"004";"02/10/2025";"01/12/2025";"YCF";"$";"N";         959.19000;          66.00000;           0.00000;      892667.00000;      169607.00000;     1062274.00000;"SI";"00005";"004";"37";"006";"DCG";0;"";"FPN";"";"PCA960COPPBL1";           1.00000;           1.00000;          12.00000;          12.00000;           0.00000;           0.00000;"GL";          12.00000;          12.00000;           0.00000;           0.00000;"GL";       12373.00000;       14723.87000;      148476.00000;      176686.00000;"02/10/2025";"02/10/2025";        6490.63195;        6490.63190;           0.00000;"C";       12373.00000;       12373.00000;     1662486.00000;"003";"";"";"08";0;"0001";"0002";      148476.00000;"A000005498";"ESMALTE AGUA COPPER C/COBRE 960 BLANCO GL.";"";"PLANTA LAUTARO";"CLIENTE FABRICA";"YAZNA CAROLINA FERNANDEZ BRION";"PRODUCTOS TERMINADOS";"PINTURERIA DEL SUR LIMITADA";"PANORAMICA STORE";"";"PINTURAS FABRICACION PROPIA";"PINTURAS BASE AGUA";"ESMALTE AL AGUA";           0.00000;           0.00000;           0.00000;"";           0.00000;
